epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,130.044,0.91697,1.31549,1.09739,0.47918,0.59616,0.55817,0.29776,1.6602,1.79861,1.67456,0.0069805,0.0069805,0.0069805
63,132.111,0.88446,1.28122,1.10492,0.60124,0.58094,0.60214,0.32456,1.58581,1.68062,1.58929,0.006931,0.006931,0.006931
64,134.151,0.92882,1.37962,1.15978,0.66475,0.5742,0.59817,0.31203,1.65844,1.69727,1.67065,0.0068815,0.0068815,0.0068815
65,136.211,0.91869,1.40446,1.16351,0.7611,0.50645,0.59208,0.32793,1.56114,1.69456,1.57156,0.006832,0.006832,0.006832
66,138.226,0.89957,1.32576,1.12679,0.67252,0.54316,0.60327,0.31767,1.65104,1.73529,1.64899,0.0067825,0.0067825,0.0067825
67,140.263,0.88186,1.30334,1.09486,0.68605,0.52587,0.61498,0.34496,1.57596,1.67092,1.59742,0.006733,0.006733,0.006733
68,142.335,0.8768,1.38695,1.08988,0.58221,0.52938,0.59467,0.33159,1.59006,1.71352,1.6226,0.0066835,0.0066835,0.0066835
69,144.337,0.80784,1.23905,1.09989,0.68493,0.51278,0.58788,0.32086,1.6003,1.70295,1.63044,0.006634,0.006634,0.006634
70,146.413,0.8399,1.29965,1.08744,0.64756,0.52209,0.55882,0.30421,1.61405,1.75004,1.63478,0.0065845,0.0065845,0.0065845
71,148.584,0.87158,1.252,1.12613,0.56109,0.5738,0.55821,0.30964,1.58073,1.69569,1.57886,0.006535,0.006535,0.006535
72,150.601,0.80217,1.29396,1.07942,0.59684,0.51613,0.55766,0.3047,1.62399,1.71809,1.64327,0.0064855,0.0064855,0.0064855
73,152.669,0.79267,1.14014,1.0384,0.59652,0.53745,0.55878,0.31364,1.59678,1.71243,1.61604,0.006436,0.006436,0.006436
74,154.778,0.85122,1.19696,1.08373,0.54544,0.54984,0.54888,0.30974,1.58707,1.73148,1.64022,0.0063865,0.0063865,0.0063865
75,156.91,0.84934,1.16278,1.08374,0.54544,0.54984,0.54888,0.30974,1.58707,1.73148,1.64022,0.006337,0.006337,0.006337
76,159,0.87006,1.20999,1.10065,0.61079,0.4872,0.53367,0.29917,1.57556,1.74935,1.63349,0.0062875,0.0062875,0.0062875
77,161.093,0.79474,1.1197,1.07113,0.52177,0.56702,0.54502,0.30593,1.58265,1.69229,1.65491,0.006238,0.006238,0.006238
78,163.1,0.75506,1.10408,1.0477,0.6499,0.53176,0.58068,0.33223,1.55653,1.6704,1.58714,0.0061885,0.0061885,0.0061885
79,165.147,0.81572,1.16634,1.05326,0.62672,0.54688,0.58953,0.32891,1.6308,1.64812,1.67519,0.006139,0.006139,0.006139
80,167.223,0.83554,1.11828,1.09321,0.63689,0.5366,0.58556,0.33342,1.55218,1.63239,1.59124,0.0060895,0.0060895,0.0060895
81,169.367,0.79339,1.11061,1.06341,0.68799,0.49417,0.58906,0.33089,1.54002,1.65296,1.59327,0.00604,0.00604,0.00604
82,171.594,0.79673,1.06727,1.07491,0.64258,0.52594,0.57098,0.31681,1.59261,1.65575,1.63881,0.0059905,0.0059905,0.0059905
83,173.682,0.75344,1.0978,1.03601,0.55692,0.57342,0.57214,0.32197,1.56454,1.64051,1.58595,0.005941,0.005941,0.005941
84,175.759,0.77405,1.15351,1.0688,0.60459,0.52968,0.56123,0.31873,1.51874,1.72034,1.53734,0.0058915,0.0058915,0.0058915
85,177.807,0.78455,1.10572,1.07805,0.53779,0.61036,0.5627,0.30349,1.60968,1.63612,1.64737,0.005842,0.005842,0.005842
86,179.877,0.77699,1.11587,1.01733,0.62711,0.55469,0.59006,0.32871,1.51676,1.66035,1.56057,0.0057925,0.0057925,0.0057925
87,181.919,0.74521,1.03446,1.02942,0.64175,0.56681,0.6122,0.34451,1.52299,1.62161,1.57555,0.005743,0.005743,0.005743
88,183.914,0.73197,1.06486,1.02055,0.67737,0.55864,0.62208,0.34978,1.54784,1.57425,1.59843,0.0056935,0.0056935,0.0056935
